"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"statistics","oomem","mddtable","chain-prev","sat-like","2147483647","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1416.49","3939564","","","","","","",
"performance","oomem","cache","bfs","sat-like","2147483647","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","46.230","25000","25000","","","","","","","","","58.07","3253928","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","PolyORB-LF-S06-J04-T06-unfolded.pnml","632","10500","88770","0","tg,bs,hf","526.370","632","10500","","","","","","","","","1797.12","3423120","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","true","true","IOTP_c1m1p1d1.pnml","111","45","224","0","tg,bs,hf","0.000","111","45","1980","1980","0.080","204","629","446","568","177","0.10","2891576",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.400","476","920","","","","","","","","","1792.44","3952752","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","BridgeAndVehicles-V20-P10-N50-unfolded.pnml","108","2228","17190","0","tg,bs,hf","6.220","108","2228","","","","","","","","","1793.42","3302284","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","true","true","distributeur-01-unfolded-02.pnml","24","72","440","0","tg,bs,hf","0.010","24","72","360","360","0.010","4096","52","880","936","744","0.02","1131456",
"performance","ootime","explore","chain-prev","sat-like","2147483647","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.130","900","6844","","","","","","","","","1792.05","3987904","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","2147483647","true","true","Peterson-5.pnml","834","1242","3828","0","tg,bs,hf","2.150","834","1242","","","","","","","","","1794.63","3955004","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","PolyORB-LF-S04-J04-T06-unfolded.pnml","554","2998","20754","0","tg,bs,hf","12.780","554","2998","","","","","","","","","1796.31","3956144","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","FMS-5.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","1420","1420","0.240","2895018","432","580","525","543","0.24","2891348",
